ip1,ip2,port1,port2,proto,pkts12_min,pkts12_mid,pkts12_max,pkts21_min,pkts21_mid,pkts21_max,pkl12_min,pkl12_mid,pkl12_max,pkl21_min,pkl21_mid,pkl21_max,behavior_tag,topology_tag,class,app,community_tag
192.168.7.220,42.120.158.42,2.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,102.0,102.0,102.0,60.0,60.0,60.0,-2,166_166,8,913,58
192.168.6.237,104.78.82.52,1.0,1.0,6.0,2.0,2.0,2.0,5.0,5.0,5.0,46.0,46.0,46.0,861.6,861.6,861.6,-2,167_167,8,913,59
219.238.237.135,192.168.7.140,1.0,1.0,6.0,3.0,3.0,3.0,4.0,4.0,4.0,132.0,132.0,132.0,321.75,321.75,321.75,-2,168_168,8,237,60
192.168.7.185,52.1.5.172,2.0,1.0,6.0,2.0,6.0,10.0,5.0,7.0,9.0,111.7,133.85,156.0,451.6666666666667,582.8333333333334,714.0,-2,170_170,8,913,61
192.168.6.242,52.138.216.83,1.0,1.0,6.0,3.0,3.0,3.0,4.0,4.0,4.0,115.33333333333333,115.33333333333333,115.33333333333333,966.25,966.25,966.25,-2,172_172,8,913,62
192.168.7.187,52.138.216.83,1.0,1.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,181.64285714285714,181.64285714285714,181.64285714285714,344.2142857142857,344.2142857142857,344.2142857142857,-2,172_172,8,913,62
192.168.7.196,106.75.23.102,2.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,227.0,227.0,227.0,60.0,60.0,60.0,-2,174_174,8,913,63
192.168.7.202,17.248.158.176,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,139.66666666666666,139.66666666666666,139.66666666666666,60.0,60.0,60.0,-2,175_175,8,913,64
192.168.7.196,120.132.60.202,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,227.0,227.0,227.0,60.0,60.0,60.0,-2,176_176,8,913,65
192.168.6.254,120.92.32.150,1.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,56.0,56.0,56.0,140.5,140.5,140.5,-2,177_177,8,237,66
23.42.177.73,192.168.7.223,1.0,1.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,60.0,60.0,60.0,137.33333333333334,137.33333333333334,137.33333333333334,-2,178_178,8,913,67
192.168.7.157,111.206.37.72,2.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,216.33333333333334,216.33333333333334,216.33333333333334,52.0,52.0,52.0,-2,17_17,8,913,68
192.168.7.220,120.52.148.150,2.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,107.0,163.0,219.0,52.0,52.0,52.0,-2,180_180,8,913,69
52.229.170.171,192.168.1.19,1.0,1.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1123.8333333333333,1123.8333333333333,1123.8333333333333,117.33333333333333,117.33333333333333,117.33333333333333,-2,181_181,8,913,70
61.135.189.215,192.168.7.157,1.0,1.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,160.0,160.0,160.0,324.27272727272725,324.27272727272725,324.27272727272725,-2,182_182,8,237,71
54.222.194.140,192.168.7.201,1.0,1.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,60.0,60.0,60.0,117.33333333333333,117.33333333333333,117.33333333333333,-2,183_183,8,913,72
223.167.104.147,192.168.7.185,1.0,1.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,320.25,320.25,320.25,205.2,205.2,205.2,-2,184_184,8,237,73
54.65.128.244,192.168.7.200,1.0,1.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,60.0,60.0,60.0,228.33333333333334,228.33333333333334,228.33333333333334,-2,185_185,8,913,74
192.168.7.185,13.107.4.52,1.0,1.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,73.2,73.2,73.2,214.5,214.5,214.5,-2,186_186,8,237,75
192.168.7.223,17.171.98.3,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,138.66666666666666,138.66666666666666,138.66666666666666,60.0,60.0,60.0,-2,187_187,8,913,76
192.168.7.202,17.248.152.44,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,140.33333333333334,140.33333333333334,140.33333333333334,60.0,60.0,60.0,-2,188_188,8,913,77
192.168.7.223,17.139.246.6,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,125.66666666666667,125.66666666666667,125.66666666666667,52.0,52.0,52.0,-2,189_189,8,913,78
192.168.7.202,17.248.160.18,1.0,1.0,6.0,2.0,2.0,2.0,4.0,4.0,4.0,58.0,58.0,58.0,778.0,778.0,778.0,-2,190_190,8,913,79
52.229.172.155,192.168.7.131,1.0,1.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1123.8333333333333,1123.8333333333333,1123.8333333333333,117.33333333333333,117.33333333333333,117.33333333333333,-2,191_191,8,913,80
219.238.237.133,192.168.6.242,1.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,94.5,94.5,94.5,120.5,120.5,120.5,-2,192_192,8,237,81
192.168.7.233,140.206.160.226,1.0,1.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,113.2,113.2,113.2,143.5,143.5,143.5,-2,193_193,8,237,82
203.208.41.90,192.168.7.97,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,52.0,52.0,52.0,164.0,164.0,164.0,-2,194_194,8,913,83
203.208.50.95,192.168.7.147,1.0,1.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,52.0,52.0,52.0,216.33333333333334,216.33333333333334,216.33333333333334,-2,195_195,8,913,84
203.208.50.46,192.168.7.223,1.0,1.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,60.0,60.0,60.0,138.66666666666666,138.66666666666666,138.66666666666666,-2,197_197,8,913,85
192.168.7.223,17.248.160.21,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,135.66666666666666,135.66666666666666,135.66666666666666,60.0,60.0,60.0,-2,198_198,8,913,86
192.168.7.202,17.250.120.232,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,135.0,135.0,135.0,60.0,60.0,60.0,-2,199_199,8,913,87
192.168.7.157,111.206.76.31,9.0,1.0,6.0,2.0,3.0,3.0,4.0,12.0,21.0,46.0,216.33333333333334,221.0,52.0,52.0,60.53333333333333,-2,19_19,8,913,88
192.168.1.111,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,55.0,55.0,257.0,257.0,257.0,0,1_1,8,916,90
192.168.1.112,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,55.0,55.0,257.0,257.0,257.0,0,1_1,8,916,90
192.168.6.217,202.106.0.20,2.0,1.0,17.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,33.5,67.0,364.0,364.0,364.0,-1,1_1,8,916,89
192.168.6.222,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,461.0,461.0,461.0,0,1_1,8,916,90
192.168.6.225,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,58.0,66.0,69.0,207.0,216.0,302.0,0,1_1,8,916,90
192.168.6.238,202.106.0.20,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0,71.0,72.0,126.0,352.0,386.0,0,1_1,8,916,90
192.168.6.242,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,63.0,77.0,230.0,275.5,534.0,0,1_1,8,916,90
192.168.6.253,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,72.5,74.0,126.0,258.5,391.0,0,1_1,8,916,90
192.168.6.254,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,57.0,65.0,67.0,371.0,440.0,461.0,0,1_1,8,916,90
192.168.7.107,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,66.0,66.0,263.0,303.0,303.0,0,1_1,8,916,90
192.168.7.116,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,66.0,71.0,375.0,381.5,388.0,0,1_1,8,916,90
192.168.7.118,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,69.0,71.0,126.0,255.0,369.0,0,1_1,8,916,90
192.168.7.131,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,58.0,67.5,83.0,270.0,388.0,454.0,0,1_1,8,916,90
