ip1,ip2,port1,port2,proto,pkts12_min,pkts12_mid,pkts12_max,pkts21_min,pkts21_mid,pkts21_max,pkl12_min,pkl12_mid,pkl12_max,pkl21_min,pkl21_mid,pkl21_max,behavior_tag,topology_tag,class,app,tag
192.168.7.94,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.97,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,72.0,73.0,345.0,358.0,404.0,0,1_1,8,916,90
192.168.6.237,114.114.114.114,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,74.0,82.0,85.0,239.0,303.0,-1,3_3,8,916,112
192.168.6.254,114.114.114.114,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0,54.5,72.0,84.0,102.5,170.0,0,3_3,8,916,113
192.168.7.103,114.114.114.114,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,3_3,8,916,113
192.168.7.157,114.114.114.114,4.0,1.0,17.0,1.0,1.5,3.0,1.0,1.5,3.0,64.0,69.5,76.0,96.0,142.0,161.0,-1,3_3,8,916,112
192.168.7.185,114.114.114.114,8.0,1.0,17.0,1.0,1.0,2.0,1.0,1.0,2.0,62.0,63.5,69.0,79.0,137.0,352.0,-1,3_3,8,916,112
192.168.7.194,114.114.114.114,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,61.0,61.0,130.0,130.0,130.0,0,3_3,8,916,113
192.168.7.205,114.114.114.114,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,70.0,81.0,129.0,142.5,156.0,0,3_3,8,916,113
192.168.7.208,114.114.114.114,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,58.0,60.0,72.0,97.5,123.0,0,3_3,8,916,113
192.168.7.215,114.114.114.114,37.0,1.0,17.0,0.0,3.0,4.0,1.0,3.0,4.0,0.0,62.0,70.0,96.0,154.0,276.0,-1,3_3,8,916,112
192.168.7.240,114.114.114.114,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,130.0,130.0,130.0,0,3_3,8,916,113
192.168.7.44,114.114.114.114,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,66.5,71.0,78.0,102.0,126.0,0,3_3,8,916,113
192.168.7.68,114.114.114.114,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,63.0,69.0,78.0,167.0,200.0,-1,3_3,8,916,112
192.168.7.86,114.114.114.114,2.0,1.0,17.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,35.5,71.0,126.0,126.0,126.0,-1,3_3,8,916,112
192.168.7.97,114.114.114.114,3.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,59.0,69.0,120.0,165.0,211.0,-1,3_3,8,916,112
