ip1,ip2,port1,port2,proto,pkts12,pkts21,bytes12,bytes21,etime,class,app,entity1,entity2,part1,part2,link_label
192.168.7.49,8.8.8.8,58949,53,17,1,1,71,126,1525251655,8,916,192.168.7.49_58949,8.8.8.8_53,4,4,4_4
192.168.7.49,8.8.8.8,57946,53,17,1,1,71,126,1525251660,8,916,192.168.7.49_57946,8.8.8.8_53,4,4,4_4
192.168.7.49,8.8.8.8,65021,53,17,1,1,71,126,1525251660,8,916,192.168.7.49_65021,8.8.8.8_53,4,4,4_4
192.168.7.215,114.114.114.114,62741,53,17,2,2,118,334,1525251658,8,916,192.168.7.215_62741,114.114.114.114_53,3,3,3_3
192.168.7.215,114.114.114.114,53392,53,17,2,2,136,230,1525251659,8,916,192.168.7.215_53392,114.114.114.114_53,3,3,3_3
58.247.204.141,192.168.7.185,443,62718,6,1,3,52,148,1525251646,8,913,58.247.204.141_443,192.168.7.185_62718,116,116,116_116
61.240.133.7,192.168.7.131,80,10681,6,9,10,8130,590,1525251654,8,237,61.240.133.7_80,192.168.7.131_10681,117,117,117_117
192.168.7.47,202.106.0.20,57447,53,17,1,1,71,385,1525251657,8,916,192.168.7.47_57447,202.106.0.20_53,1,1,1_1
192.168.7.49,202.106.0.20,57946,53,17,1,1,71,126,1525251660,8,916,192.168.7.49_57946,202.106.0.20_53,4,1,1_4
192.168.7.49,202.106.0.20,65021,53,17,1,1,71,126,1525251660,8,916,192.168.7.49_65021,202.106.0.20_53,4,1,1_4
192.168.7.49,202.106.0.20,58345,53,17,1,1,71,126,1525251660,8,916,192.168.7.49_58345,202.106.0.20_53,1,1,1_1
192.168.1.203,172.16.10.3,57388,53,17,5,0,355,0,1525251655,8,916,192.168.1.203_57388,172.16.10.3_53,12,12,12_12
192.168.1.203,172.16.10.3,61457,53,17,5,0,370,0,1525251659,8,916,192.168.1.203_61457,172.16.10.3_53,12,12,12_12
218.12.233.45,192.168.6.237,80,53328,6,3158,1882,4636118,86231,1525251644,8,237,218.12.233.45_80,192.168.6.237_53328,118,118,118_118
192.168.7.233,111.206.25.166,33140,80,6,6,4,1223,406,1525251654,8,237,192.168.7.233_33140,111.206.25.166_80,86,86,86_86
192.168.7.233,111.206.25.166,33142,80,6,5,4,827,362,1525251660,8,237,192.168.7.233_33142,111.206.25.166_80,86,86,86_86
192.168.7.157,111.206.76.34,52432,443,6,20,50,3265,22418,1525251660,8,913,192.168.7.157_52432,111.206.76.34_443,100,100,100_100
211.144.24.150,192.168.7.220,443,47703,6,1,3,52,296,1525251635,8,913,211.144.24.150_443,192.168.7.220_47703,119,119,119_119
192.168.7.38,120.92.15.24,52066,443,6,3,1,645,48,1525251641,8,913,192.168.7.38_52066,120.92.15.24_443,24,24,24_24
192.168.7.38,120.92.15.24,52069,443,6,3,1,645,48,1525251650,8,913,192.168.7.38_52069,120.92.15.24_443,24,24,24_24
192.168.7.34,111.206.37.178,5879,80,6,4,5,443,433,1525251623,8,237,192.168.7.34_5879,111.206.37.178_80,93,93,93_93
192.168.7.34,111.206.37.178,5883,80,6,4,5,426,433,1525251623,8,237,192.168.7.34_5883,111.206.37.178_80,93,93,93_93
192.168.7.34,111.206.37.178,5872,80,6,6,6,543,1112,1525251632,8,237,192.168.7.34_5872,111.206.37.178_80,93,93,93_93
192.168.7.34,111.206.37.178,5873,80,6,7,11,571,11580,1525251632,8,237,192.168.7.34_5873,111.206.37.178_80,93,93,93_93
192.168.7.201,202.106.0.20,5932,53,17,1,1,72,430,1525251660,8,916,192.168.7.201_5932,202.106.0.20_53,1,1,1_1
192.168.7.68,114.114.114.114,65169,53,17,1,1,67,162,1525251646,8,916,192.168.7.68_65169,114.114.114.114_53,3,3,3_3
224.0.0.251,192.168.7.234,0,0,2,0,1,0,32,1525251643,8,1676,224.0.0.251_0,192.168.7.234_0,120,120,120_120
